tmp;hum;bmp;pm25_06;dow;pm25_12
6.5;83;1008;2;2;3
-3.8;79;1023;13;2;19.5
7.3;79;989;0.5;1;1
7.8;81;998;3;1;1
5.5;66;1026;6;7;7
3.8;51;1038;7;1;5
4.3;80;1014;2;2;3
7;77;1031;5.5;6;5.5
14.5;69;1013;1;5;1
10.3;78;1020;2.5;6;2
15;80;998;1;3;1.5
5;79;1000;8.5;7;5
5.5;66;1020;6;2;6.5
6.5;65;1006;2.5;4;5.5
10.5;64;999;3;1;1.5
4.5;83;1010;8;7;2
19.5;73;1003;3;4;3
12.8;77;1019;4;3;4
17.5;74;1003;3;3;2.5
14.5;86;1000;3.5;4;2
15.3;73;1002;1.5;1;1.5
8.5;82;1012;2.5;5;2.5
5.3;79;997;1.5;3;1
3;83;1017;9;7;11.5
9.5;71;1007;3;1;0.5
5;71;1029;5;4;4
6.5;87;1023;12.5;7;14.5
1.3;70;992;5;4;11
2;80;1036;8.5;5;7
8.8;87;1010;4.5;7;1
1.5;80;1027;4.5;3;2
9;83;1013;6.5;6;3.5
20.8;60;1011;2;2;2.5
18.8;79;1010;3;7;1
18.3;58;1021;5;7;4
18;62;1012;5.5;6;4.5
17.5;84;1003;8;2;1.5
21.8;56;1006;3;2;3.5
4.3;76;992;2;6;12.5
6;84;1017;4.5;3;4
-3;71;1015;5;1;8
4.8;82;1012;5;2;4
5.3;74;1024;13.5;1;13
5.5;72;1022;5.5;4;19.5
5.8;67;1035;4.5;3;4.5
6.5;64;1029;4;4;6
10;74;1010;3;1;2
4;72;1023;3;3;2.5
7.8;75;1006;4;6;2
11;77;1022;33;3;19
10.8;77;1006;4;6;4
5.8;71;1033;2.5;2;1.5
15.8;76;1012;3.5;3;1.5
17.8;64;1019;2;1;1.5
18;57;1019;2;6;3
18;62;1015;6;5;3.5
17.8;72;1013;2.5;7;2
17;75;1018;2;1;5.5
17.5;72;1020;3.5;2;1
26.3;43;1020;4.5;6;4
17;72;1011;9;7;5
13;68;1016;1.5;2;1
14;76;1012;1.5;7;8
9.8;81;989;1;3;2
4.8;85;999;2;6;3
3.5;82;994;2.5;4;3.5
1;80;1015;17;6;8.5
4.5;82;1016;3;4;3.5
8;88;1010;10;1;16.5
7.3;77;1014;2;4;6
-4.5;79;1013;24;3;26.5
-0.5;82;997;4.5;5;8.5
2;81;1036;8.5;4;10
6.8;75;1008;4;5;1.5
6.8;68;1031;2.5;3;2.5
4.8;67;1023;16.5;2;6
8.5;81;1019;32;4;51
12;77;1014;3.5;6;2
15.5;77;1022;2.5;2;2
21.3;51;1013;3;1;6
15.5;65;1019;2;1;2.5
19.3;65;1006;3.5;1;4
16.5;68;1013;1.5;4;1.5
14.5;86;1004;2.5;6;1.5
5;85;1009;2.5;3;3.5
5.3;79;993;7;7;4.5
-0.8;76;998;26;4;26
4.3;60;1033;3;6;4
8.8;73;1018;18;3;5
5.3;79;1035;7;5;4.5
6.5;65;850;2;3;4.5
12;92;1010;17;3;14.5
18;78;1014;4;6;1.5
24.5;61;1020;6;5;5.5
8;86;993;6.5;5;3.5
2.3;86;1004;11;1;10.5
4.3;85;1006;11;2;3
3.8;82;1024;3.5;3;5.5
5.3;91;1030;15;7;4
6;87;1031;8;1;16.5
5;73;1027;13;5;3
5.8;78;1039;14.5;7;11.5
6;79;1033;14.5;6;7
10.5;82;1016;14.5;5;9.5
15;74;1009;1.5;5;1.5
15;78;1013;6.5;5;7.5
6;83;1000;15.5;6;13
4.3;67;1029;6;5;3.5
6.8;79;1003;1.5;5;2
10;80;1011;6.5;6;36
6.8;70;1020;5.5;2;1.5
16;65;1022;2;3;2.5
20;58;1012;1;4;1
5.5;71;1008;11;6;16.5
6;81;998;8;1;10
2.5;74;1025;4;5;5.5
13.5;78;1014;1.5;6;7.5
17.5;74;1012;7.5;6;3
6;88;1014;27.5;7;9.5
7;73;1026;11.5;5;21
4.8;79;1014;4.5;2;2.5
8.5;81;1005;16.5;7;22
11.8;75;1020;2;4;9.5
5.8;83;1024;2.5;2;8
6.8;63;850;1.5;4;4
11.3;83;1016;16;4;8
16.3;62;1013;3.5;1;1
18;62;1016;14;7;9.5
17.8;81;1012;23;7;5.5
3.3;82;1021;5.5;4;6
9.5;84;995;14.5;4;14
2;85;1006;16;1;21
4.3;79;1029;18.5;7;22
4;84;1020;9;3;7
3.3;82;1008;13;3;4
6;73;1018;20.5;5;24.5
14.8;52;1015;1.5;7;1.5
13.8;79;1017;20.5;4;28.5
5.3;82;1003;11;7;6
3.8;85;1013;13;4;18
8;78;1031;4;1;4.5
9;80;1028;14.5;1;11.5
3.5;80;1018;3;1;7.5
17.5;82;1014;0;3;6
21;72;1011;19.5;5;7
18.8;70;1017;13.5;6;7.5
3.8;86;993;15.5;7;15.5
2.5;84;1033;8.5;3;8.5
7.8;72;1035;15.5;5;22
14;74;1019;5;2;14
25;60;1020;5.5;7;22.5
6.8;85;1016;12.5;3;5.5
9.5;85;986;3.5;4;1
9;89;1033;20;2;31.5
4;86;1034;40.5;2;35.5
17.8;64;1009;6.5;4;8.5
19;68;1027;3.5;5;8.5
5.5;86;999;19;2;10
0.8;85;1005;11.5;5;12.5
13.5;87;1006;38;2;25.5
2.3;83;1018;14.5;6;17.5
-1.3;70;1009;36.5;5;53
13.5;86;1005;17.5;1;21.5
20.5;84;1001;27;1;31.5
10;87;1033;42.5;6;24
6.8;75;1032;15.5;4;13.5
4.3;83;1029;25.5;6;18.5
0.3;70;1015;53.5;6;44.5

